scan_timestamp,scan_date,scan_slot,regime,is_halt,halt_reason,vix,n225,strategy,ticker,name,sector,entry_price,stop_price,target_price,shares,cost,hold_days,info,signal_id
2026-05-09T14:37:44.232160,2026-05-09,昼,BULLISH,N,,17.190000534057617,62713.6484375,MOMENTUM,4565.T,ネクセラファーマ,バイオ,1102.0,1046.8999999999999,1212.2,100,110200.0,10,20日高値ブレイク ¥1102,2026-05-09_4565.T_MOMENTUM_昼
2026-05-09T14:52:59.016588,2026-05-09,昼,BULLISH,N,,17.190000534057617,62713.6484375,(all duplicate),,,,,,,,,,既存シグナル 2 件,2026-05-09T14:52:59.016588_SCAN_RECORD
2026-05-09T14:54:36.267357,2026-05-09,昼,BULLISH,N,,17.190000534057617,62713.6484375,(all duplicate),,,,,,,,,,既存シグナル 2 件,2026-05-09T14:54:36.267357_SCAN_RECORD
2026-05-10T12:36:09.527789,2026-05-10,昼,BULLISH,N,,17.190000534057617,62713.6484375,MOMENTUM,4689.T,LINEヤフー,IT,442.0,419.9,486.20000000000005,400,176800.0,10,20日高値ブレイク ¥442,2026-05-10_4689.T_MOMENTUM_昼
2026-05-10T12:36:09.527789,2026-05-10,昼,BULLISH,N,,17.190000534057617,62713.6484375,MOMENTUM,4565.T,ネクセラファーマ,バイオ,1102.0,1046.8999999999999,1212.2,100,110200.0,10,20日高値ブレイク ¥1102,2026-05-10_4565.T_MOMENTUM_昼
2026-05-11T00:20:32.384142,2026-05-11,朝,BULLISH,N,,17.190000534057617,62713.6484375,MOMENTUM,4689.T,LINEヤフー,IT,442.0,419.9,486.20000000000005,400,176800.0,10,20日高値ブレイク ¥442,2026-05-11_4689.T_MOMENTUM_朝
2026-05-11T00:20:32.384142,2026-05-11,朝,BULLISH,N,,17.190000534057617,62713.6484375,MOMENTUM,4565.T,ネクセラファーマ,バイオ,1102.0,1046.8999999999999,1212.2,100,110200.0,10,20日高値ブレイク ¥1102,2026-05-11_4565.T_MOMENTUM_朝
2026-05-11T08:58:26.600841,2026-05-11,朝,BULLISH,N,,18.15999984741211,62713.6484375,(all duplicate),,,,,,,,,,既存シグナル 2 件,2026-05-11T08:58:26.600841_SCAN_RECORD
2026-05-11T10:48:57.718824,2026-05-11,昼,BULLISH,N,,18.15999984741211,62417.87890625,MOMENTUM,4689.T,LINEヤフー,IT,443.8999938964844,421.70499420166016,488.28999328613287,400,177559.99755859375,10,20日高値ブレイク ¥444,2026-05-11_4689.T_MOMENTUM_昼
2026-05-11T10:48:57.718824,2026-05-11,昼,BULLISH,N,,18.15999984741211,62417.87890625,MOMENTUM,4565.T,ネクセラファーマ,バイオ,1235.0,1173.25,1358.5,100,123500.0,10,20日高値ブレイク ¥1235,2026-05-11_4565.T_MOMENTUM_昼
2026-05-11T13:34:48.735342,2026-05-11,昼,BULLISH,N,,18.260000228881836,62417.87890625,(all duplicate),,,,,,,,,,既存シグナル 2 件,2026-05-11T13:34:48.735342_SCAN_RECORD
